eval,gen,hv,igd+,icmop,cv,run
100.0,1.0,0.5836470806232279,0.2154198015470373,0.5836470806232279,0.0,1.0
200.0,2.0,0.818947127343866,0.0556108304102526,0.818947127343866,0.0,1.0
400.0,4.0,0.8258607357192269,0.0533514137068113,0.8258607357192269,0.0,1.0
500.0,5.0,0.8297722077770827,0.0510675032216721,0.8297722077770827,0.0,1.0
600.0,6.0,0.84170120881957,0.0329749417324454,0.84170120881957,0.0,1.0
700.0,7.0,0.8418476515520739,0.0257530573463622,0.8418476515520739,0.0,1.0
800.0,8.0,0.844864708375538,0.0251809880170645,0.844864708375538,0.0,1.0
900.0,9.0,0.8452133041058486,0.0172751528154358,0.8452133041058486,0.0,1.0
1000.0,10.0,0.8479392378378495,0.0163509541767085,0.8479392378378495,0.0,1.0
1200.0,12.0,0.8483263803558876,0.0081111140483754,0.8483263803558876,0.0,1.0
1300.0,13.0,0.8483529202160083,0.0081111140483754,0.8483529202160083,0.0,1.0
1400.0,14.0,0.8483685739259214,0.0081111140483754,0.8483685739259214,0.0,1.0
1500.0,15.0,0.8483786702434962,0.0081111140483754,0.8483786702434962,0.0,1.0
1600.0,16.0,0.8483920265025923,0.0081111140483754,0.8483920265025923,0.0,1.0
1700.0,17.0,0.8484242446704239,0.0077811270631578,0.8484242446704239,0.0,1.0
1800.0,18.0,0.8484272738510162,0.0077811270631578,0.8484272738510162,0.0,1.0
1900.0,19.0,0.8484326473911258,0.0077811270631578,0.8484326473911258,0.0,1.0
2000.0,20.0,0.8484527727572481,0.0073197616985211,0.8484527727572481,0.0,1.0
2100.0,21.0,0.8484607543008194,0.0073197616985211,0.8484607543008194,0.0,1.0
2200.0,22.0,0.8484638749823857,0.0073197616985211,0.8484638749823857,0.0,1.0
2300.0,23.0,0.8484664097901174,0.0073197616985211,0.8484664097901174,0.0,1.0
2400.0,24.0,0.8484795771148504,0.0063395351363062,0.8484795771148504,0.0,1.0
