eval,gen,hv,igd+,icmop,cv,run
100.0,1.0,0.0,,-1.8960963235659416,0.8960963235659416,1.0
200.0,2.0,0.0,,-1.8705965310393688,0.8705965310393688,1.0
1100.0,11.0,0.0,,-1.8361990467195888,0.8361990467195892,1.0
9700.0,97.0,0.0,,-1.826831341152562,0.8268313411525621,1.0
11600.0,116.0,0.0,,-1.8138878882010347,0.8138878882010347,1.0
52400.0,524.0,0.0,,-1.8065213144299777,0.8065213144299777,1.0
58800.0,588.0,0.0,,-1.796310098120982,0.7963100981209819,1.0
201900.0,2019.0,0.0,,-1.7473848255636957,0.7473848255636957,1.0
100.0,1.0,0.0,,-1.887242326570369,0.887242326570369,2.0
200.0,2.0,0.0,,-1.8582267142594424,0.8582267142594424,2.0
3300.0,33.0,0.0,,-1.8525392034912824,0.8525392034912826,2.0
3600.0,36.0,0.0,,-1.851725934774116,0.8517259347741157,2.0
6700.0,67.0,0.0,,-1.841221993911708,0.8412219939117076,2.0
12000.0,120.0,0.0,,-1.831072643561132,0.8310726435611318,2.0
23700.0,237.0,0.0,,-1.816449267935355,0.816449267935355,2.0
47300.0,473.0,0.0,,-1.801566025605875,0.801566025605875,2.0
63400.0,634.0,0.0,,-1.7898423949032898,0.7898423949032898,2.0
261300.0,2613.0,0.0,,-1.765724450097259,0.7657244500972591,2.0
100.0,1.0,0.0,,-1.848491109826322,0.8484911098263219,3.0
900.0,9.0,0.0,,-1.818656183441388,0.8186561834413881,3.0
4000.0,40.0,0.0,,-1.8142969000481644,0.8142969000481644,3.0
15900.0,159.0,0.0,,-1.8138722052356748,0.8138722052356748,3.0
76700.0,767.0,0.0,,-1.8069863298601936,0.8069863298601936,3.0
77100.0,771.0,0.0,,-1.7869286891186382,0.7869286891186382,3.0
239600.0,2396.0,0.0,,-1.7786039168623575,0.7786039168623575,3.0
100.0,1.0,0.0,,-1.8390397689114344,0.8390397689114346,4.0
4900.0,49.0,0.0,,-1.8343109992774755,0.8343109992774753,4.0
22900.0,229.0,0.0,,-1.8327485326822397,0.8327485326822393,4.0
28600.0,286.0,0.0,,-1.8159097317291517,0.8159097317291515,4.0
46000.0,460.0,0.0,,-1.8157867613203336,0.8157867613203336,4.0
101100.0,1011.0,0.0,,-1.8061147015818515,0.8061147015818513,4.0
121900.0,1219.0,0.0,,-1.8026651122078912,0.8026651122078912,4.0
161000.0,1610.0,0.0,,-1.7914453323892117,0.7914453323892117,4.0
100.0,1.0,0.0,,-1.8874123156597804,0.8874123156597804,5.0
400.0,4.0,0.0,,-1.8862507373029147,0.8862507373029147,5.0
600.0,6.0,0.0,,-1.8557735210937245,0.8557735210937245,5.0
1600.0,16.0,0.0,,-1.855447613537466,0.855447613537466,5.0
2200.0,22.0,0.0,,-1.8550971290907563,0.8550971290907565,5.0
3400.0,34.0,0.0,,-1.8408020418766056,0.8408020418766058,5.0
6800.0,68.0,0.0,,-1.8380310631956367,0.8380310631956371,5.0
8700.0,87.0,0.0,,-1.8261390761238143,0.8261390761238145,5.0
10600.0,106.0,0.0,,-1.8243858805111437,0.8243858805111435,5.0
34800.0,348.0,0.0,,-1.8095196202949384,0.8095196202949384,5.0
70300.0,703.0,0.0,,-1.7811406499022844,0.7811406499022844,5.0
259500.0,2595.0,0.0,,-1.7685465955815234,0.7685465955815234,5.0
100.0,1.0,0.0,,-1.8658356541876917,0.8658356541876913,6.0
1600.0,16.0,0.0,,-1.8532456968546052,0.8532456968546054,6.0
1700.0,17.0,0.0,,-1.8249298985694105,0.8249298985694105,6.0
28200.0,282.0,0.0,,-1.8031378273564131,0.8031378273564134,6.0
291100.0,2911.0,0.0,,-1.8001604155555142,0.8001604155555142,6.0
100.0,1.0,0.0,,-1.8773882059125728,0.8773882059125728,7.0
400.0,4.0,0.0,,-1.867638475704858,0.8676384757048581,7.0
1700.0,17.0,0.0,,-1.8652640557935296,0.8652640557935298,7.0
2100.0,21.0,0.0,,-1.853126411644684,0.8531264116446837,7.0
4000.0,40.0,0.0,,-1.8515749555377117,0.8515749555377115,7.0
4300.0,43.0,0.0,,-1.8382831641192412,0.8382831641192414,7.0
5000.0,50.0,0.0,,-1.815838937258074,0.8158389372580741,7.0
7600.0,76.0,0.0,,-1.805755664045511,0.805755664045511,7.0
21600.0,216.0,0.0,,-1.8026108034524209,0.8026108034524206,7.0
39900.0,399.0,0.0,,-1.7456962663123885,0.7456962663123883,7.0
134000.0,1340.0,0.0,,-1.7447294109297615,0.7447294109297617,7.0
100.0,1.0,0.0,,-1.8595568831476157,0.8595568831476155,8.0
1300.0,13.0,0.0,,-1.8469058613283325,0.8469058613283325,8.0
3700.0,37.0,0.0,,-1.8377244034715448,0.8377244034715448,8.0
7500.0,75.0,0.0,,-1.821162586814387,0.821162586814387,8.0
20700.0,207.0,0.0,,-1.8168873349139183,0.8168873349139183,8.0
32500.0,325.0,0.0,,-1.81108282743926,0.8110828274392601,8.0
62000.0,620.0,0.0,,-1.8001440416418146,0.8001440416418146,8.0
298700.0,2987.0,0.0,,-1.799160563844107,0.799160563844107,8.0
100.0,1.0,0.0,,-1.8835594655549688,0.8835594655549688,9.0
300.0,3.0,0.0,,-1.875668456820676,0.8756684568206761,9.0
700.0,7.0,0.0,,-1.8745181352887663,0.8745181352887663,9.0
800.0,8.0,0.0,,-1.869810451365668,0.8698104513656681,9.0
900.0,9.0,0.0,,-1.8545062930438108,0.8545062930438108,9.0
4800.0,48.0,0.0,,-1.848993913130601,0.848993913130601,9.0
6100.0,61.0,0.0,,-1.8415556603975665,0.8415556603975662,9.0
9100.0,91.0,0.0,,-1.838475080289902,0.8384750802899021,9.0
17200.0,172.0,0.0,,-1.831450882536667,0.8314508825366671,9.0
30400.0,304.0,0.0,,-1.754941546769918,0.7549415467699179,9.0
100.0,1.0,0.0,,-1.8918468640635455,0.8918468640635457,10.0
200.0,2.0,0.0,,-1.8715337578578324,0.8715337578578324,10.0
300.0,3.0,0.0,,-1.864064259836404,0.8640642598364041,10.0
1700.0,17.0,0.0,,-1.860301929662686,0.8603019296626861,10.0
2200.0,22.0,0.0,,-1.8445971059823152,0.8445971059823152,10.0
3500.0,35.0,0.0,,-1.832134497101848,0.8321344971018476,10.0
